adm4_code,name,lat,lon
31.74.09.1002,Srengseng Sawah,-6.3483484822,106.8244519264
31.74.09.1003,Ciganjur,-6.3363558308,106.8086703966
31.74.09.1004,Lenteng Agung,-6.3256443872,106.836900115
31.74.09.1005,Tanjung Barat,-6.3067579819,106.8474972826
31.74.09.1006,Cipedak,-6.3536836981,106.8021253129
31.74.10.1001,Pesanggrahan,-6.2564284189,106.7587677845
31.74.10.1002,Bintaro,-6.2703730385,106.763618126
31.74.10.1003,Petukangan Utara,-6.229288154,106.7510112261
31.74.10.1004,Petukangan Selatan,-6.243315896,106.7537923344
31.74.10.1005,Ulujami,-6.2362883484,106.7631834896
31.75.01.1001,Pisangan Baru,-6.2117040208,106.8689841425
31.75.01.1002,Utan Kayu Utara,-6.1955065214,106.8682690491
31.75.01.1003,Kayu Manis,-6.2027040842,106.8622138313
31.75.01.1004,Palmeriam,-6.2036231891,106.8589741924
31.75.01.1005,Kebon Manggis,-6.2072747361,106.8553462717
31.75.01.1006,Utan Kayu Selatan,-6.2034958146,106.868934129
31.75.02.1001,Pulo Gadung,-6.1829906187,106.898903552
31.75.02.1002,Pisangan Timur,-6.2085762796,106.8801349158
31.75.02.1003,Cipinang,-6.2075560829,106.8912607741
31.75.02.1004,Jatinegara Kaum,-6.2023483488,106.9014579239
31.75.02.1005,Rawamangun,-6.1959090445,106.8824482835
31.75.02.1006,Kayu Putih,-6.1794000192,106.8836930954
31.75.02.1007,Jati,-6.1945262374,106.8970290237
31.75.03.1001,Kampung Melayu,-6.2173848127,106.861277599
31.75.03.1002,Bidara Cina,-6.2353721363,106.8669525068
31.75.03.1003,Bali Mester,-6.2195453128,106.8663653466
31.75.03.1004,Rawa Bunga,-6.2199619302,106.8713270906
31.75.03.1005,Cipinang Cempedak,-6.2366148035,106.873471678
31.75.03.1006,Cipinang Muara,-6.2261169072,106.8892226266
31.75.03.1007,Cipinang Besar Selatan,-6.2297680326,106.880835477
31.75.03.1008,Cipinang Besar Utara,-6.2186348029,106.8795866414
31.75.04.1001,Kramatjati,-6.2741117361,106.8707068069
31.75.04.1002,Tengah,-6.2896196291,106.8666307924
31.75.04.1003,Dukuh,-6.2958902878,106.8777838618
31.75.04.1004,Batu Ampar,-6.2791007105,106.8610525488
31.75.04.1005,Balekambang,-6.2815946334,106.8527701676
31.75.04.1006,Cililitan,-6.2624913226,106.8644346335
31.75.04.1007,Cawang,-6.2508803087,106.866895508
31.75.05.1001,Gedong,-6.3014777355,106.8599653088
31.75.05.1002,Baru,-6.3239299375,106.8472103449
31.75.05.1003,Cijantung,-6.3215709897,106.8588757803
31.75.05.1004,Kalisari,-6.3353778077,106.8530384379
31.75.05.1005,Pekayon,-6.3449540954,106.8643897622
31.75.06.1001,Jatinegara,-6.2034480257,106.9160534167
31.75.06.1002,Rawa Terate,-6.1844717893,106.9204471074
31.75.06.1003,Penggilingan,-6.2048421474,106.9348442364
31.75.06.1004,Cakung Timur,-6.1710043386,106.9553320105
31.75.06.1005,Pulo Gebang,-6.2050070666,106.9529552138
31.75.06.1006,Ujung Menteng,-6.186276045,106.9633448127
31.75.06.1007,Cakung Barat,-6.1730511615,106.9346868561
31.75.07.1001,Duren Sawit,-6.2332841645,106.9157212711
31.75.07.1002,Pondok Bambu,-6.2348484665,106.9008784163
31.75.07.1003,Klender,-6.2185124198,106.9081362165
31.75.07.1004,Pondok Kelapa,-6.2434240125,106.9318877418
31.75.07.1005,Malaka Sari,-6.2238442231,106.9284255944
31.75.07.1006,Malaka Jaya,-6.2233651223,106.9348624246
31.75.07.1007,Pondok Kopi,-6.2269618927,106.9425503332
31.75.08.1001,Makasar,-6.275772245,106.8770335873
31.75.08.1002,Pinangranti,-6.2916878813,106.8849693295
31.75.08.1003,Kebon Pala,-6.255710306,106.8778339005
31.75.08.1004,Halim Perdana Kusuma,-6.2659080088,106.8932475483
31.75.08.1005,Cipinang Melayu,-6.2495562868,106.9058312253
31.75.09.1001,Ciracas,-6.3260630002,106.8753166935
31.75.09.1002,Cibubur,-6.357374619,106.8823152749
31.75.09.1003,Kelapa Dua Wetan,-6.3411258225,106.8829708802
31.75.09.1004,Susukan,-6.3124814095,106.8688414704
31.75.09.1005,Rambutan,-6.3071037992,106.8777483419
31.75.10.1001,Cipayung,-6.329055034,106.8938974494
31.75.10.1002,Cilangkap,-6.3335910824,106.9088667768
31.75.10.1003,Pondok Ranggon,-6.3553914838,106.9068504991
31.75.10.1004,Munjul,-6.3478093874,106.895677727
31.75.10.1005,Setu,-6.3130364997,106.9148096533
31.75.10.1006,Bambu Apus,-6.3124241342,106.9023061653
31.75.10.1007,Lubang Buaya,-6.2939217084,106.9035285732
31.75.10.1008,Ceger,-6.308492388,106.8923936608
